root@lamponubuntu2404-s-1vcpu-1gb-tor1-01:~# tcpdump -r 0001.pcap
reading from file 0001.pcap, link-type EN10MB (Ethernet), snapshot length 262144
06:46:05.719231 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 2211231906:2211231950, ack 2111439996, win 473, length 44
06:46:05.719327 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 44:160, ack 1, win 473, length 116
06:46:05.734347 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 0, win 6192, length 0
06:46:05.734347 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 1:37, ack 44, win 6192, length 36
06:46:05.734564 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 160:196, ack 37, win 473, length 36
06:46:05.749508 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 196, win 6192, length 0
06:46:05.755867 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 37:73, ack 196, win 6192, length 36
06:46:05.756032 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 196:232, ack 73, win 473, length 36
06:46:05.786332 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 73:109, ack 232, win 6192, length 36
06:46:05.786469 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 232:268, ack 109, win 473, length 36
06:46:05.816304 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 109:145, ack 268, win 6191, length 36
06:46:05.816451 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 268:304, ack 145, win 473, length 36
06:46:05.846519 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 145:181, ack 304, win 6191, length 36
06:46:05.846672 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 304:340, ack 181, win 473, length 36
06:46:05.876942 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 181:217, ack 340, win 6191, length 36
06:46:05.877131 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 340:376, ack 217, win 473, length 36
06:46:05.907244 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 217:253, ack 376, win 6191, length 36
06:46:05.907427 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 376:412, ack 253, win 473, length 36
06:46:05.937337 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 253:289, ack 412, win 6191, length 36
06:46:05.937527 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 412:448, ack 289, win 473, length 36
06:46:05.967704 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 289:325, ack 448, win 6191, length 36
06:46:05.967857 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 448:484, ack 325, win 473, length 36
06:46:05.995829 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 325:361, ack 484, win 6191, length 36
06:46:05.996011 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 484:520, ack 361, win 473, length 36
06:46:06.030478 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 361:397, ack 520, win 6190, length 36
06:46:06.030651 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 520:556, ack 397, win 473, length 36
06:46:06.060592 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 397:433, ack 556, win 6190, length 36
06:46:06.060758 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 556:592, ack 433, win 473, length 36
